Backward Citation Ages.  ,,,,,,,,
Means and percentiles are presented in Supplementary Figure 1D. ,,,,,,,,
The predicted values and their standard errors are presented in Figures 2-4.,,,,,,,,
field,year,mean,median,p25,p75,,Predicted,se
Chemistry,1900,-0.228996,-0.5357701,-0.9596761,-0.0058876,,0.0674237,0.0470392
Chemistry,1901,-0.2977606,-0.4603831,-0.7407668,0.2405761,,0.0671425,0.0438263
Chemistry,1902,-0.2780947,-0.4669618,-0.6776212,-0.0456429,,0.0671089,0.0408187
Chemistry,1903,-0.1315964,-0.4236357,-0.7505454,0.1756987,,0.0673186,0.0380184
Chemistry,1904,0.1982096,-0.1312924,-0.7936082,0.6966022,,0.0677677,0.0354279
Chemistry,1905,-0.0665758,-0.3784792,-0.5608788,0.3055194,,0.068452,0.0330496
Chemistry,1906,-0.1722747,-0.3748794,-0.8601601,0.1710614,,0.0693672,0.030886
Chemistry,1907,-0.288532,-0.4918675,-0.8326532,-0.0374864,,0.0705093,0.0289391
Chemistry,1908,0.2340315,-0.1642582,-0.7457029,0.7079089,,0.0718741,0.0272099
Chemistry,1909,-0.0951083,-0.2057898,-0.3726465,0.0723046,,0.0734574,0.0256979
Chemistry,1910,0.2731788,-0.0920182,-0.3795748,0.6268734,,0.0752551,0.0244003
Chemistry,1911,0.2208316,0.0045768,-0.5103154,0.5766793,,0.077263,0.0233114
Chemistry,1912,0.348425,-0.0065741,-0.4010175,0.7823128,,0.0794768,0.022422
Chemistry,1913,0.3521501,-0.0411194,-0.462856,0.7496369,,0.0818925,0.0217194
Chemistry,1914,0.3503986,0.2628302,-0.5628145,0.9508674,,0.0845058,0.0211875
Chemistry,1915,0.2865548,0.1049356,-0.5509116,0.8919522,,0.0873125,0.0208074
Chemistry,1916,-0.210318,-0.2688275,-0.9013629,0.3637079,,0.0903084,0.0205583
Chemistry,1917,0.3622061,0.2869006,-0.4185928,0.8748118,,0.0934894,0.0204186
Chemistry,1918,0.3718472,0.1437201,-0.3125342,0.714038,,0.0968511,0.020367
Chemistry,1919,0.1721161,-0.0351505,-0.5199845,0.8133091,,0.1003894,0.0203834
Chemistry,1920,0.2007387,-0.1385744,-0.5918551,0.897496,,0.1041,0.0204494
Chemistry,1921,0.4484877,0.2940498,-0.3237018,1.220677,,0.1079788,0.0205487
Chemistry,1922,0.4138916,0.1306254,-0.4564549,1.011246,,0.1120214,0.0206672
Chemistry,1923,0.1988673,0.1466395,-0.4057696,0.6990486,,0.1162237,0.0207931
Chemistry,1924,-0.01581,-0.1140577,-0.7351637,0.5070484,,0.1205813,0.0209168
Chemistry,1925,0.4326909,0.2311636,-0.5838361,0.9720725,,0.1250901,0.0210304
Chemistry,1926,0.0709698,-0.1004742,-0.5390519,0.3779743,,0.1297458,0.021128
Chemistry,1927,0.4450474,0.1603276,-0.4616331,1.127822,,0.134544,0.0212049
Chemistry,1928,0.3356225,0.2989351,-0.5842823,0.9783329,,0.1394806,0.021258
Chemistry,1929,0.2522112,0.0069672,-0.6897488,0.7733547,,0.1445512,0.021285
Chemistry,1930,0.47928,0.2060063,-0.5647655,1.116918,,0.1497516,0.0212848
Chemistry,1931,0.153031,-0.2546435,-0.7443427,0.4799052,,0.1550775,0.021257
Chemistry,1932,0.2451827,-0.1741719,-0.6132609,0.704006,,0.1605245,0.021202
Chemistry,1933,0.0371277,-0.307263,-0.6913419,0.4608946,,0.1660885,0.0211208
Chemistry,1934,-0.0307809,-0.1629576,-0.5703516,0.2444364,,0.1717651,0.0210148
Chemistry,1935,0.3097578,-0.2039494,-0.6639858,0.7161232,,0.1775499,0.0208861
Chemistry,1936,0.208993,-0.1352307,-0.6621038,0.4794545,,0.1834386,0.0207371
Chemistry,1937,0.3869888,0.0703616,-0.6702868,0.81101,,0.1894271,0.0205704
Chemistry,1938,0.0963366,-0.1549196,-0.4152887,0.4960032,,0.1955108,0.0203891
Chemistry,1939,-0.1268779,-0.293907,-0.7757218,0.2682103,,0.2016855,0.0201965
Chemistry,1940,0.0937996,-0.1583828,-0.6196918,0.3798112,,0.2079468,0.0199961
Chemistry,1941,0.3879757,-0.0259984,-0.5259671,1.173926,,0.2142904,0.0197916
Chemistry,1942,-0.013352,-0.310434,-0.7276841,0.5240662,,0.220712,0.0195869
Chemistry,1943,0.1008251,-0.1498372,-0.5699416,0.5503368,,0.2272072,0.0193857
Chemistry,1944,0.6761355,0.238754,-0.5637808,1.342239,,0.2337716,0.019192
Chemistry,1945,0.2807846,0.0152902,-0.6797212,0.9883062,,0.2404008,0.0190095
Chemistry,1946,0.551391,0.0216232,-0.4417306,1.180008,,0.2470906,0.0188419
Chemistry,1947,0.0798393,-0.2022597,-0.6458117,0.6848441,,0.2538364,0.0186928
Chemistry,1948,0.3239568,0.0814045,-0.5831223,1.078195,,0.260634,0.0185651
Chemistry,1949,0.4027912,0.2373591,-0.6617286,1.046538,,0.2674789,0.0184618
Chemistry,1950,0.2653944,-0.1821642,-0.5747595,0.5245073,,0.2743668,0.0183851
Chemistry,1951,0.0662056,0.0383992,-0.5574508,0.369427,,0.2812932,0.0183369
Chemistry,1952,0.0536124,-0.2075319,-0.7263616,0.4842411,,0.2882538,0.0183184
Chemistry,1953,0.0251961,-0.1231812,-0.6830959,0.4367334,,0.2952441,0.0183301
Chemistry,1954,-0.0821998,-0.276382,-0.6337726,0.0810086,,0.3022597,0.018372
Chemistry,1956,-0.0201616,0.5222091,-0.3657221,0.5222091,,0.3163492,0.0185433
Chemistry,1957,0.1470628,0.2351302,-0.7169012,1.187162,,0.3234142,0.0186694
Chemistry,1958,0.0575225,0.264036,-0.403621,0.7090964,,0.3304868,0.0188195
Chemistry,1959,0.0681374,-0.1358337,-0.6285825,0.9756265,,0.3375626,0.0189907
Chemistry,1960,0.023011,0.0743632,-0.5123279,0.6607229,,0.344637,0.0191798
Chemistry,1961,0.2561337,0.2593009,-0.3227172,0.9921413,,0.3517057,0.0193833
Chemistry,1962,0.2642358,0.2401933,-0.3356319,0.7343633,,0.3587642,0.0195974
Chemistry,1963,-0.002732,-0.0401303,-0.5707591,0.4281027,,0.365808,0.0198184
Chemistry,1964,0.1064214,-0.0327574,-0.4338472,0.6680611,,0.3728327,0.0200421
Chemistry,1965,0.2011343,0.1420755,-0.4151356,0.8371648,,0.3798338,0.0202648
Chemistry,1966,0.21302,0.1745434,-0.4391874,0.8125246,,0.3868067,0.0204825
Chemistry,1967,0.0686032,-0.0628585,-0.5942411,0.5543652,,0.393747,0.0206914
Chemistry,1968,0.1197774,0.0060714,-0.5255108,0.8328068,,0.4006502,0.0208879
Chemistry,1969,0.3388506,0.3220863,-0.2740343,1.003331,,0.4075119,0.0210685
Chemistry,1970,0.2697003,0.2442632,-0.4296746,0.8894999,,0.4143274,0.0212302
