name,field,year_birth,year_prize,year_research_mid,year_death,TheoryOrTheoryAndEmpirical,age_highdegree,female
"Van'T Hoff, Jacobus Henricus",Chemistry,1852,1901,1885,1911,1,22,0
"Fischer, Hermann Emil",Chemistry,1852,1902,1895,1919,0,22,0
"Arrhenius, Svante August",Chemistry,1859,1903,1884,1927,1,25,0
"Ramsay, Sir William",Chemistry,1852,1904,1894,1916,0,20,0
"Von Baeyer, Johann",Chemistry,1835,1905,1873,1917,0,23,0
"Moissan, Henri",Chemistry,1852,1906,1898,1907,0,28,0
"Buchner, Eduard",Chemistry,1860,1907,1897,1917,0,28,0
"Rutherford, Ernest",Chemistry,1871,1908,1902,1937,1,23,0
"Ostwald, Wilhelm",Chemistry,1853,1909,1894,1932,0,25,0
"Wallach, Otto",Chemistry,1847,1910,1884,1931,0,22,0
"Curie, Marie",Chemistry,1867,1911,1910,1934,0,36,1
"Grignard, Victor",Chemistry,1871,1912,1900,1935,0,30,0
"Sabatier, Paul",Chemistry,1854,1912,1897,1941,0,26,0
"Werner, Alfred",Chemistry,1866,1913,1892,1919,1,24,0
"Richards, Theodore",Chemistry,1868,1914,1900,1928,0,20,0
"Willstatter, Richard",Chemistry,1872,1915,1913,1942,0,22,0
"Haber, Fritz",Chemistry,1868,1918,1905,1934,0,28,0
"Nernst, Walther",Chemistry,1864,1920,1906,1941,1,23,0
"Soddy, Frederick",Chemistry,1877,1921,1909,1956,0,21,0
"Aston, Francis William",Chemistry,1877,1922,1919,1945,0,19,0
"Pregl, Fritz",Chemistry,1869,1923,1911,1930,0,25,0
"Zsigmondy, Richard",Chemistry,1865,1925,1903,1929,0,26,0
"Svedberg, Theodore",Chemistry,1884,1926,1913,1971,0,24,0
"Wieland, Heinrich",Chemistry,1877,1927,1932,1957,0,24,0
"Windaus, Adolf",Chemistry,1876,1928,1919,1958,0,24,0
"Harden, Arthur",Chemistry,1865,1929,1911,1940,0,23,0
"von Euler-Chelpin, Hans",Chemistry,1873,1929,1914,1964,0,22,0
"Fischer, Hans",Chemistry,1881,1930,1929,1945,0,27,0
"Bergius, Friedrich",Chemistry,1884,1931,1912,1949,0,23,0
"Bosch, Carl",Chemistry,1874,1931,1910,1940,0,24,0
"Langmuir, Irving",Chemistry,1881,1932,1916,1957,1,25,0
"Urey, Harold",Chemistry,1893,1934,1931,1981,1,30,0
"Joliot, Frederic",Chemistry,1900,1935,1934,1958,0,30,0
"Joliot-Curie, Irene",Chemistry,1897,1935,1934,1956,0,28,1
"Debye, Peter",Chemistry,1884,1936,1923,1966,1,24,0
"Haworth, Norman",Chemistry,1883,1937,1927,1950,0,27,0
"Karrer, Paul",Chemistry,1889,1937,1930,1971,0,22,0
